ds;holiday
23.02.2017;Man's Day
24.02.2017;Man's Day
25.02.2017;Man's Day
26.02.2017;Man's Day
08.03.2017;Woman's Day
29.04.2017;1 May Day's
30.04.2017;1 May Day's
01.05.2017;1 May Day's
06.05.2017;Victory Day
07.05.2017;Victory Day
08.05.2017;Victory Day
09.05.2017;Victory Day
10.06.2017;Russia Day
11.06.2017;Russia Day
12.06.2017;Russia Day
04.11.2017;Independance Day
05.11.2017;Independance Day
06.11.2017;Independance Day
30.12.2017;New Year
31.12.2017;New Year
01.01.2018;New Year
02.01.2018;New Year
03.01.2018;New Year
04.01.2018;New Year
05.01.2018;New Year
06.01.2018;New Year
07.01.2018;New Year
08.01.2018;New Year
23.02.2018;Man's Day
24.02.2018;Man's Day
25.02.2018;Man's Day
08.03.2018;Woman's Day
09.03.2018;Woman's Day
10.03.2018;Woman's Day
11.03.2018;Woman's Day
29.04.2018;1 May Day
30.04.2018;1 May Day
