,ds,is_holiday
0,2017-01-09,False
1,2017-01-10,False
2,2017-01-11,False
3,2017-01-12,False
4,2017-01-13,False
5,2017-01-14,False
6,2017-01-15,False
7,2017-01-16,False
8,2017-01-17,False
9,2017-01-18,False
10,2017-01-19,False
11,2017-01-20,False
12,2017-01-21,False
13,2017-01-22,False
14,2017-01-23,False
15,2017-01-24,False
16,2017-01-25,False
17,2017-01-26,False
18,2017-01-27,False
19,2017-01-28,False
20,2017-01-29,False
21,2017-01-30,False
22,2017-01-31,False
23,2017-02-01,False
24,2017-02-02,False
25,2017-02-03,False
26,2017-02-04,False
27,2017-02-05,False
28,2017-02-06,False
29,2017-02-07,False
30,2017-02-08,False
31,2017-02-09,False
32,2017-02-10,False
33,2017-02-11,False
34,2017-02-12,False
35,2017-02-13,False
36,2017-02-14,False
37,2017-02-15,False
38,2017-02-16,False
39,2017-02-17,False
40,2017-02-18,False
41,2017-02-19,False
42,2017-02-20,False
43,2017-02-21,False
44,2017-02-22,False
45,2017-02-23,True
46,2017-02-24,True
47,2017-02-25,True
48,2017-02-26,True
49,2017-02-27,False
50,2017-02-28,False
51,2017-03-01,False
52,2017-03-02,False
53,2017-03-03,False
54,2017-03-04,False
55,2017-03-05,False
56,2017-03-06,False
57,2017-03-07,False
58,2017-03-08,False
59,2017-03-09,False
60,2017-03-10,False
61,2017-03-11,False
62,2017-03-12,False
63,2017-03-13,False
64,2017-03-14,False
65,2017-03-15,False
66,2017-03-16,False
67,2017-03-17,False
68,2017-03-18,False
69,2017-03-19,False
70,2017-03-20,False
71,2017-03-21,False
72,2017-03-22,False
73,2017-03-23,False
74,2017-03-24,False
75,2017-03-25,False
76,2017-03-26,False
77,2017-03-27,False
78,2017-03-28,False
79,2017-03-29,False
80,2017-03-30,False
81,2017-03-31,False
82,2017-04-01,False
83,2017-04-02,False
84,2017-04-03,False
85,2017-04-04,False
86,2017-04-05,False
87,2017-04-06,False
88,2017-04-07,False
89,2017-04-08,False
90,2017-04-09,False
91,2017-04-10,False
92,2017-04-11,False
93,2017-04-12,False
94,2017-04-13,False
95,2017-04-14,False
96,2017-04-15,False
97,2017-04-16,False
98,2017-04-17,False
99,2017-04-18,False
100,2017-04-19,False
101,2017-04-20,False
102,2017-04-21,False
103,2017-04-22,False
104,2017-04-23,False
105,2017-04-24,False
106,2017-04-25,False
107,2017-04-26,False
108,2017-04-27,False
109,2017-04-28,False
110,2017-04-29,True
111,2017-04-30,True
112,2017-05-01,True
113,2017-05-02,False
114,2017-05-03,False
115,2017-05-04,False
116,2017-05-05,False
117,2017-05-06,True
118,2017-05-07,True
119,2017-05-08,True
120,2017-05-09,True
121,2017-05-10,False
122,2017-05-11,False
123,2017-05-12,False
124,2017-05-13,False
125,2017-05-14,False
126,2017-05-15,False
127,2017-05-16,False
128,2017-05-17,False
129,2017-05-18,False
130,2017-05-19,False
131,2017-05-20,False
132,2017-05-21,False
133,2017-05-22,False
134,2017-05-23,False
135,2017-05-24,False
136,2017-05-25,False
137,2017-05-26,False
138,2017-05-27,False
139,2017-05-28,False
140,2017-05-29,False
141,2017-05-30,False
142,2017-05-31,False
143,2017-06-01,False
144,2017-06-02,False
145,2017-06-03,False
146,2017-06-04,False
147,2017-06-05,False
148,2017-06-06,False
149,2017-06-07,False
150,2017-06-08,False
151,2017-06-09,False
152,2017-06-10,True
153,2017-06-11,True
154,2017-06-12,True
155,2017-06-13,False
156,2017-06-14,False
157,2017-06-15,False
158,2017-06-16,False
159,2017-06-17,False
160,2017-06-18,False
161,2017-06-19,False
162,2017-06-20,False
163,2017-06-21,False
164,2017-06-22,False
165,2017-06-23,False
166,2017-06-24,False
167,2017-06-25,False
168,2017-06-26,False
169,2017-06-27,False
170,2017-06-28,False
171,2017-06-29,False
172,2017-06-30,False
173,2017-07-01,False
174,2017-07-02,False
175,2017-07-03,False
176,2017-07-04,False
177,2017-07-05,False
178,2017-07-06,False
179,2017-07-07,False
180,2017-07-08,False
181,2017-07-09,False
182,2017-07-10,False
183,2017-07-11,False
184,2017-07-12,False
185,2017-07-13,False
186,2017-07-14,False
187,2017-07-15,False
188,2017-07-16,False
189,2017-07-17,False
190,2017-07-18,False
191,2017-07-19,False
192,2017-07-20,False
193,2017-07-21,False
194,2017-07-22,False
195,2017-07-23,False
196,2017-07-24,False
197,2017-07-25,False
198,2017-07-26,False
199,2017-07-27,False
200,2017-07-28,False
201,2017-07-29,False
202,2017-07-30,False
203,2017-07-31,False
204,2017-08-01,False
205,2017-08-02,False
206,2017-08-03,False
207,2017-08-04,False
208,2017-08-05,False
209,2017-08-06,False
210,2017-08-07,False
211,2017-08-08,False
212,2017-08-09,False
213,2017-08-10,False
214,2017-08-11,False
215,2017-08-12,False
216,2017-08-13,False
217,2017-08-14,False
218,2017-08-15,False
219,2017-08-16,False
220,2017-08-17,False
221,2017-08-18,False
222,2017-08-19,False
223,2017-08-20,False
224,2017-08-21,False
225,2017-08-22,False
226,2017-08-23,False
227,2017-08-24,False
228,2017-08-25,False
229,2017-08-26,False
230,2017-08-27,False
231,2017-08-28,False
232,2017-08-29,False
233,2017-08-30,False
234,2017-08-31,False
235,2017-09-01,False
236,2017-09-02,False
237,2017-09-03,False
238,2017-09-04,False
239,2017-09-05,False
240,2017-09-06,False
241,2017-09-07,False
242,2017-09-08,False
243,2017-09-09,False
244,2017-09-10,False
245,2017-09-11,False
246,2017-09-12,False
247,2017-09-13,False
248,2017-09-14,False
249,2017-09-15,False
250,2017-09-16,False
251,2017-09-17,False
252,2017-09-18,False
253,2017-09-19,False
254,2017-09-20,False
255,2017-09-21,False
256,2017-09-22,False
257,2017-09-23,False
258,2017-09-24,False
259,2017-09-25,False
260,2017-09-26,False
261,2017-09-27,False
262,2017-09-28,False
263,2017-09-29,False
264,2017-09-30,False
265,2017-10-01,False
266,2017-10-02,False
267,2017-10-03,False
268,2017-10-04,False
269,2017-10-05,False
270,2017-10-06,False
271,2017-10-07,False
272,2017-10-08,False
273,2017-10-09,False
274,2017-10-10,False
275,2017-10-11,False
276,2017-10-12,False
277,2017-10-13,False
278,2017-10-14,False
279,2017-10-15,False
280,2017-10-16,False
281,2017-10-17,False
282,2017-10-18,False
283,2017-10-19,False
284,2017-10-20,False
285,2017-10-21,False
286,2017-10-22,False
287,2017-10-23,False
288,2017-10-24,False
289,2017-10-25,False
290,2017-10-26,False
291,2017-10-27,False
292,2017-10-28,False
293,2017-10-29,False
294,2017-10-30,False
295,2017-10-31,False
296,2017-11-01,False
297,2017-11-02,False
298,2017-11-03,False
299,2017-11-04,True
300,2017-11-05,True
301,2017-11-06,True
302,2017-11-07,False
303,2017-11-08,False
304,2017-11-09,False
305,2017-11-10,False
306,2017-11-11,False
307,2017-11-12,False
308,2017-11-13,False
309,2017-11-14,False
310,2017-11-15,False
311,2017-11-16,False
312,2017-11-17,False
313,2017-11-18,False
314,2017-11-19,False
315,2017-11-20,False
316,2017-11-21,False
317,2017-11-22,False
318,2017-11-23,False
319,2017-11-24,False
320,2017-11-25,False
321,2017-11-26,False
322,2017-11-27,False
323,2017-11-28,False
324,2017-11-29,False
325,2017-11-30,False
326,2017-12-01,False
327,2017-12-02,False
328,2017-12-03,False
329,2017-12-04,False
330,2017-12-05,False
331,2017-12-06,False
332,2017-12-07,False
333,2017-12-08,False
334,2017-12-09,False
335,2017-12-10,False
336,2017-12-11,False
337,2017-12-12,False
338,2017-12-13,False
339,2017-12-14,False
340,2017-12-15,False
341,2017-12-16,False
342,2017-12-17,False
343,2017-12-18,False
344,2017-12-19,False
345,2017-12-20,False
346,2017-12-21,False
347,2017-12-22,False
348,2017-12-23,False
349,2017-12-24,False
350,2017-12-25,False
351,2017-12-26,False
352,2017-12-27,False
353,2017-12-28,False
354,2017-12-29,False
355,2017-12-30,True
356,2017-12-31,True
357,2018-01-01,True
358,2018-01-02,True
359,2018-01-03,True
360,2018-01-04,True
361,2018-01-05,True
362,2018-01-06,True
363,2018-01-07,True
364,2018-01-08,True
365,2018-01-09,False
366,2018-01-10,False
367,2018-01-11,False
368,2018-01-12,False
369,2018-01-13,False
370,2018-01-14,False
371,2018-01-15,False
372,2018-01-16,False
373,2018-01-17,False
374,2018-01-18,False
375,2018-01-19,False
376,2018-01-20,False
377,2018-01-21,False
378,2018-01-22,False
379,2018-01-23,False
380,2018-01-24,False
381,2018-01-25,False
382,2018-01-26,False
383,2018-01-27,False
384,2018-01-28,False
385,2018-01-29,False
386,2018-01-30,False
387,2018-01-31,False
388,2018-02-01,False
389,2018-02-02,False
390,2018-02-03,False
391,2018-02-04,False
392,2018-02-05,False
393,2018-02-06,False
394,2018-02-07,False
395,2018-02-08,False
396,2018-02-09,False
397,2018-02-10,False
398,2018-02-11,False
399,2018-02-12,False
400,2018-02-13,False
401,2018-02-14,False
402,2018-02-15,False
403,2018-02-16,False
404,2018-02-17,False
405,2018-02-18,False
406,2018-02-19,False
407,2018-02-20,False
408,2018-02-21,False
409,2018-02-22,False
410,2018-02-23,True
411,2018-02-24,True
412,2018-02-25,True
