CHMF,GMKN,LKOH,MSNG,NLMK,NVTK,PIKK,PLZL,SBER,YNDX,<DATE>
522.0,8590.0,2295.0,0.652,66.285,455.5,191.7,1000.5,56.37,1079.0,20150105
556.9,9101.0,2345.0,0.6625,66.7,476.7,198.9,1047.0,58.28,1092.0,20150106
542.7,9550.0,2572.0,0.686,67.41,483.0,191.2,1060.0,65.7,1094.0,20150108
548.55,9740.0,2461.0,0.686,67.9,475.1,192.7,1050.0,63.1,1098.0,20150109
558.45,9839.0,2477.0,0.6825,70.12,470.7,188.0,1020.0,62.9,1113.0,20150112
583.0,10025.0,2522.0,0.674,72.505,489.4,195.4,1035.5,60.31,1153.0,20150113
595.0,9600.0,2588.0,0.664,72.35,497.9,192.8,1024.0,60.05,1177.0,20150114
577.0,9290.0,2618.9,0.666,75.18,483.2,189.8,1045.0,61.8,1175.0,20150115
587.9,9561.0,2736.0,0.666,75.7,490.0,194.1,1076.0,61.99,1165.0,20150116
589.0,9417.0,2640.0,0.6605,75.43,487.0,188.7,1090.0,61.8,1165.0,20150119
586.9,9470.0,2628.7,0.658,76.85,475.0,188.1,1119.0,60.8,1122.0,20150120
592.0,9675.0,2752.0,0.6475,76.47,490.4,188.0,1120.0,62.8,1083.0,20150121
599.5,10386.0,2820.0,0.653,79.895,523.7,188.0,1119.0,64.35,1106.0,20150122
587.0,10400.0,2849.0,0.6465,79.505,512.0,188.0,1070.0,64.45,1117.0,20150123
616.15,10755.0,2864.9,0.642,82.845,504.0,188.0,1051.0,60.49,1121.0,20150126
632.5,11179.0,2925.1,0.652,86.695,505.5,186.2,1040.0,61.2,1095.0,20150127
630.85,11534.0,2865.2,0.648,86.11,488.0,186.6,1055.0,60.63,1081.0,20150128
634.2,11450.0,2845.2,0.6465,89.155,480.4,187.4,1055.0,60.5,1075.0,20150129
642.35,11610.0,2789.9,0.645,91.995,460.0,189.7,1049.5,61.5,1075.0,20150130
645.9,11280.0,2750.1,0.6375,88.5,472.0,188.1,1046.5,61.4,998.0,20150202
632.0,10990.0,2851.5,0.636,88.5,482.3,187.9,1054.0,62.0,997.0,20150203
656.0,10750.0,2910.0,0.6375,89.305,478.5,188.0,1052.0,61.04,1050.0,20150204
663.4,11100.0,2996.0,0.637,88.495,500.2,188.5,1061.0,62.41,1090.0,20150205
701.2,11394.0,3120.1,0.6635,91.045,522.2,190.8,1060.0,64.31,1084.0,20150206
696.0,11352.0,3016.0,0.669,89.83,527.5,203.0,1069.0,65.57,1078.0,20150209
688.0,11345.0,3000.0,0.669,89.15,520.0,204.2,1063.0,65.0,1045.0,20150210
695.0,11697.0,3069.1,0.6695,88.6,530.9,202.0,1136.0,65.12,1037.0,20150211
713.0,12037.0,3120.0,0.682,88.79,539.5,205.1,1100.5,67.21,1071.0,20150212
711.5,12106.0,3135.0,0.696,89.2,543.8,204.2,1112.0,70.6,1115.0,20150213
685.0,11900.0,3020.0,0.7035,85.5,524.6,203.4,1150.0,70.0,1070.0,20150216
698.6,11375.0,3010.0,0.6965,85.555,522.7,204.8,1130.5,72.45,1030.0,20150217
702.0,11140.0,3000.0,0.704,85.65,527.5,205.1,1118.5,76.4,1084.0,20150218
706.0,11355.0,2994.8,0.685,85.885,529.2,198.6,1110.0,73.78,1049.0,20150219
704.9,11330.0,2990.0,0.693,85.9,518.1,194.5,1096.0,74.75,1053.0,20150220
698.1,11348.0,3001.0,0.6865,84.58,518.3,194.7,1100.0,73.7,1038.0,20150224
689.0,11061.0,2933.4,0.695,83.03,506.7,189.8,1105.0,74.2,1025.0,20150225
684.0,11093.0,2935.0,0.738,81.695,499.3,189.2,1111.5,75.95,1009.0,20150226
682.0,11182.0,2981.2,0.758,81.1,503.7,195.0,1110.0,75.91,1016.0,20150227
707.6,11269.0,3027.2,0.765,82.7,512.2,192.1,1130.0,76.2,1000.0,20150302
738.45,11480.0,3009.5,0.75,84.94,522.0,192.5,1138.0,75.55,1000.0,20150303
730.0,11140.0,2955.0,0.74,81.75,512.7,188.0,1134.5,72.31,996.0,20150304
730.05,11180.0,2915.0,0.7715,82.15,512.4,188.4,1138.5,72.7,970.0,20150305
721.0,10990.0,2800.0,0.751,81.6,498.7,188.4,1125.5,73.25,932.0,20150306
710.35,10425.0,2699.0,0.725,77.6,485.0,188.1,1116.5,69.8,885.0,20150310
734.5,10588.0,2726.9,0.715,80.005,482.0,189.8,1118.0,70.68,898.0,20150311
710.0,10730.0,2733.9,0.7275,77.93,471.8,189.8,1125.5,70.79,894.0,20150312
708.1,10380.0,2659.0,0.725,77.8,461.7,187.3,1116.0,67.87,880.0,20150313
708.6,10298.0,2666.0,0.71,76.875,466.0,178.9,1065.0,65.57,878.0,20150316
692.8,10595.0,2689.0,0.708,77.0,460.0,170.7,1000.0,64.65,889.0,20150317
690.0,10692.0,2735.0,0.7085,77.435,464.0,181.0,998.0,65.26,877.0,20150318
680.75,10410.0,2689.8,0.7095,77.455,447.0,184.8,1045.0,64.9,874.0,20150319
